tfin-2-a tfin-9-a tfin-9-b tfin-9-c tfin-2-b tfin-2-c tfin-6-a tfin-6-b tfin-6-c
ASV_0001 6.79329539427192 6.60753765976049 6.49172098315484 6.36135100529221 6.79946042441341 6.77440562424692 6.28133031214642 6.32503532849823 6.48850592689623
ASV_0003 6.56840803924531 6.38836236762191 6.23193072268252 6.11968656212967 6.61223279920771 6.5543685167282 6.03004109659794 6.09866968003506 6.28298787713002
ASV_0004 4.01743008244921 7.40041322306501 6.88495189611546 6.77962507169296 4.29201877802453 3.98080710420684 5.02370201493293 5.09310170917465 5.45374176195365
ASV_0005 3.87274737715519 1.89102488643703 3.66285977257544 3.1087641230817 3.68252162675151 4.24427491853803 2.92229536049395 0.90155481899619 1.37391651105601
ASV_0006 4.51723631096559 4.33337192180623 5.0288144494582 4.73037257113606 4.56235326079887 4.74214938995694 4.94696441251966 5.29084666466148 5.21598092787724
ASV_0007 5.27084515399996 5.04090783981828 4.96701190813951 4.79289292811739 5.28514625795157 5.28291341522068 4.77557484034621 4.78740495012031 4.97676690653042
ASV_0008 5.03110439317029 4.90601497659543 4.76147206124355 4.56405135568854 5.13378844262394 5.04039004896922 4.52868294011042 4.54569837926874 4.75968008658832
ASV_0009 5.78062720866525 7.70033452953038 7.25879202466482 8.00370603341216 5.23545450661687 5.92020257224096 4.53578596337867 5.23611853332276 4.24915938735587
ASV_0010 4.93554563234799 4.93289831598887 4.64787488351984 4.45338578780102 4.98264600764997 4.81641696629263 4.5215291027538 4.56831646785651 4.70225254445329
ASV_0011 3.02280750730515 6.48950608427432 4.60433407523655 4.3930935575449 3.588753467299 2.74934671641534 3.37888454393519 2.91645783953845 3.21403705197748
ASV_0012 3.31510852561322 0.099265417208974 -0.647939352810077 -0.0899089944689813 3.59213756528325 3.47077861081387 1.04028901341811 0.858995204577394 1.22873450121151
ASV_0013 2.02955573429486 7.18600335171955 6.79220732785261 8.36848915043675 0.540835440574443 2.48862045395209 3.53073584358173 3.72738805575478 3.30817604289135
ASV_0014 3.19790136097765 3.83693503549234 4.66032834459113 4.55927807693589 2.09143285298561 3.08112410873235 2.23421148189055 1.27884905013766 3.38339946412893
ASV_0015 2.60804000653467 5.79299755601167 4.76593635437223 5.79480518269212 2.63797655935368 2.67271349039443 3.01898898529642 2.65075467380545 3.19672060196602
ASV_0016 2.62655905430191 4.79061329943812 4.01077160010604 5.18565138495644 2.89221069773792 2.16483337685819 2.94735932915716 2.92750767572504 3.081118592256
ASV_0017 3.21332583130328 3.75424331964723 4.52254464222808 4.47963401387596 2.10647073035015 2.98875078860133 2.22405911042653 1.67474470722967 3.21831971376948
ASV_0018 2.18370641412212 4.54583057302043 3.54926259485173 4.16570371534924 2.53650709918882 2.28913109353577 2.33957199754837 2.51929153424499 2.63819592161293
ASV_0019 0.500160529534299 -2.12185732319062 -2.46380620669207 1.00870329419913 0.7349914550154 -0.262914859089857 -1.6677611876841 -1.17788672268365 -1.54385422102827
ASV_0020 2.95909169291904 4.0505091357904 5.32967978747585 4.63747882424336 2.87159141053518 3.03292200691447 3.92135837865196 3.84599379816263 3.67650160405005
ASV_0021 2.3296603267452 -2.12185732319062 -0.647939352810077 -0.0899089944689813 2.09143285298561 2.28913109353577 1.62807567832023 2.24528956569728 1.42656024454143
ASV_0022 -1.37164164736729 -0.999346871459137 -2.46380620669207 -0.783056175028927 -0.999609600372706 0.0247672133619243 -0.569148899015988 -0.4847395421237 -0.445241932360162
ASV_0023 2.4238475418049 5.08515254161604 4.27931433234713 5.45721967014184 2.10647073035015 2.10420875504176 2.59491868935722 2.56768807510684 2.96700528548858
ASV_0024 0.237796265066809 -2.12185732319062 0.738355008309814 0.315556113639184 0.7349914550154 0.941057945236079 -0.0583232752499967 -0.4847395421237 -0.445241932360162
ASV_0025 2.54038135806085 0.386947489660754 0.0452078277498682 1.16285397402639 2.68926985374123 2.42266248616029 1.46773302824505 1.36108714837463 0.941052428759728
