Column1	t0-0-a	t0-0-b	t0-0-c	tfin-2-a	tfin-9-a	tfin-9-b	tfin-9-c	tfin-2-b	tfin-2-c	tfin-6-a	tfin-6-b	tfin-6-c
ASV_0001	13046	9633	17519	22115	3317	5947	1267	26538	21416	18257	18386	16020
ASV_0002	28	20760	23	14158	15	10	0	28	10198	30	1688	13739
ASV_0003	10299	8086	13961	17663	2664	4588	995	22006	17184	14201	14660	13043
ASV_0004	7097	4006	4842	1379	7331	8814	1925	2163	1311	5191	5362	5692
ASV_0005	13	2	37	1191	30	351	49	1176	1705	635	81	96
ASV_0006	6097	5195	5035	2270	342	1378	248	2832	2805	4808	6536	4487
ASV_0007	2932	2119	3783	4824	693	1295	264	5838	4819	4051	3952	3532
ASV_0008	2201	1698	3010	3795	606	1055	210	5018	3780	3164	3102	2843
ASV_0009	1194	312	659	8035	9895	12808	6547	5554	9116	3188	6187	1706
ASV_0010	2164	1713	2887	3450	622	941	188	4314	3021	3143	3173	2685
ASV_0011	1500	1227	1189	508	2949	900	177	1069	382	1002	608	606
ASV_0012	5801	4119	5293	682	5	5	2	1075	787	97	77	83
ASV_0013	1120	422	979	189	5917	8032	9429	52	295	1165	1369	667
ASV_0014	235	235	667	607	208	954	209	240	532	319	119	718
ASV_0015	1079	950	970	336	1470	1059	719	415	353	700	467	597
ASV_0016	653	528	536	342	539	497	391	534	214	650	614	532
ASV_0017	214	236	744	618	192	830	193	243	486	315	176	608
ASV_0018	352	237	265	221	422	313	141	375	240	353	408	341
ASV_0019	498	338	727	42	0	0	6	60	20	8	9	5
ASV_0020	32	10	34	477	257	1862	226	524	509	1725	1542	963
ASV_0021	1900	1326	1538	254	0	4	2	239	242	174	312	102
ASV_0022	1769	1235	1600	7	1	0	1	10	26	18	21	15
ASV_0023	343	280	265	280	724	652	513	243	202	457	430	474
ASV_0024	7	5	0	30	0	20	3	63	62	33	22	15
ASV_0025	937	680	847	314	6	9	7	436	276	149	130	63
ASV_0026	0	0	0	236	115	865	213	217	226	289	161	88
ASV_0027	1085	867	881	137	163	146	97	202	98	1502	1139	1047
ASV_0028	127	127	392	360	88	480	108	106	250	162	97	351
ASV_0029	588	454	764	968	136	258	40	1262	901	801	822	750
ASV_0030	296	238	259	352	1347	2449	1556	450	290	913	981	513
ASV_0031	0	0	0	155	1	0	0	155	138	180	114	61
ASV_0032	49	21	38	621	0	0	0	490	501	709	801	329
ASV_0033	107	149	313	327	87	432	81	116	219	131	64	300
ASV_0034	609	406	672	917	135	206	45	1089	855	728	804	663
ASV_0035	22	13	19	0	0	0	0	3	4	81	203	69
ASV_0036	82	70	78	723	0	0	0	693	599	754	756	535
ASV_0037	7	8	16	104	377	846	257	86	87	307	285	287
ASV_0038	109	92	108	661	0	0	0	834	974	1934	2263	1127
ASV_0039	486	324	618	718	124	151	47	1099	800	693	720	627
ASV_0040	131	72	90	2068	0	0	0	2576	1472	2965	2916	1228
ASV_0041	542	179	487	1171	311	180	144	527	881	1006	1068	226
ASV_0042	1481	785	1192	287	120	32	61	42	38	382	233	329
ASV_0043	87	77	214	191	66	330	51	94	180	109	56	251
ASV_0044	0	0	0	0	0	0	0	0	2	0	0	0
ASV_0045	3	0	6	0	0	0	0	0	0	0	0	0
ASV_0046	11	4	14	141	616	428	86	356	111	848	907	441
ASV_0047	0	0	4	1671	1	0	0	1755	1829	2059	1897	1651
ASV_0048	176	131	244	337	26	105	23	351	318	469	459	180
ASV_0049	319	189	424	524	67	141	29	578	513	392	441	307
ASV_0050	51	19	16	356	60	296	111	168	401	72	32	16
ASV_0051	15	29	41	427	30	96	19	328	496	244	325	167
ASV_0052	673	520	665	60	179	389	141	85	74	74	67	69
ASV_0053	95	56	141	135	4	86	0	201	164	157	234	140
ASV_0054	14	9	9	35	0	2	0	10	16	70	74	44
ASV_0055	10	11	15	34	0	6	0	21	23	33	37	23
ASV_0056	69	38	60	135	3	9	0	80	119	39	51	37
ASV_0057	13	6	27	652	0	1	0	793	922	624	483	398
ASV_0058	166	40	136	15	67	106	60	56	12	79	126	82
ASV_0059	163	99	160	65	15	239	13	75	182	250	213	117
ASV_0060	95	75	107	97	0	28	0	89	86	109	153	115
ASV_0061	162	48	106	12	6	9	0	40	37	35	52	35
ASV_0062	56	37	72	188	9	15	1	275	276	988	1268	731
ASV_0063	3	8	2	349	0	6	0	401	413	2548	2470	1526
ASV_0064	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0065	23	0	25	592	150	760	59	784	482	109	78	79
ASV_0066	38	71	172	182	415	1944	231	552	161	136	0	65
ASV_0067	13	10	22	64	1	56	10	69	57	85	72	33
ASV_0068	285	234	248	64	6	11	4	189	89	6	24	14
