Column1	Unpooled1-6-a	Unpooled1-6-b	Unpooled1-6-c	Unpooled2-6-a	Unpooled2-6-b	Unpooled2-6-c	Unpooled1-9-a	Unpooled1-9-b	Unpooled1-9-c	Unpooled2-9-a	Unpooled2-9-b	Unpooled2-9-c	Unpooled1-2-a	Unpooled1-2-b	Unpooled1-2-c	Unpooled2-2-a	Unpooled2-2-b	Unpooled2-2-c	Pooled-2-a	Pooled-2-b	Pooled-2-c	Pooled-6-a	Pooled-6-b	Pooled-6-c	Pooled-9-a	Pooled-9-b	Pooled-9-c
ASV_0001	8813	12775	10421	11640	8036	23294	14558	10264	3769	6731	11141	4037	11272	13060	13317	13323	14152	11268	17173	17799	8724	19709	22584	22530	20103	19902	17491
ASV_0002	15203	10213	15857	32648	25864	527	238	15056	20823	17631	1860	10184	7034	408	2445	3983	1062	18051	2642	1097	31834	16665	12423	14498	1699	1510	9778
ASV_0003	7261	10206	9060	9212	5836	18095	10982	7994	2776	4856	7775	2997	9606	11023	10707	10318	10890	8638	14262	14074	7132	16410	18761	19249	16424	15249	13890
ASV_0004	8409	12097	10417	18344	10528	14254	18473	13131	25550	13817	21985	9255	3784	4643	2892	18903	23528	10726	5250	5040	2621	7292	5787	6623	14007	12306	8512
ASV_0005	11	38	90	241	224	130	10	24	7	0	78	12	140	200	108	143	136	29	484	216	0	16	4	92	144	0	0
ASV_0006	1829	1898	3584	4934	2534	6907	5355	2717	4921	4318	6006	2686	2141	2229	1721	3050	4774	2085	3686	3919	1268	3035	3264	2996	4317	5690	3908
ASV_0007	1939	2728	2341	2525	1706	4858	3067	2246	764	1301	2073	790	2502	2858	2849	2844	3056	2370	3816	3803	1984	4321	5268	5261	4252	4106	3719
ASV_0008	1531	2202	1889	2051	1241	3747	2286	1807	623	1049	1604	643	2010	2267	2291	2088	2278	1893	2965	3122	1509	3548	4288	4434	3640	3636	3187
ASV_0009	1766	1076	1373	1292	701	1353	3654	3349	3107	841	2000	632	1242	2182	1647	1447	1744	1066	1352	1380	557	499	817	754	1853	2358	1886
ASV_0010	1550	2264	1872	1738	1099	3056	2175	1376	636	1176	1582	648	2077	2290	2313	1945	2431	1769	2969	3162	1621	3405	3788	3912	3078	3178	3099
ASV_0011	2401	846	3854	788	345	864	1324	1113	1791	626	728	362	981	1398	766	855	1019	475	962	1187	459	1496	1745	1427	3310	3461	2223
ASV_0012	1881	1308	3443	1993	1567	2942	2153	1410	1799	950	1437	487	2055	2889	1736	2628	3677	2263	1880	1816	885	1321	1154	1339	1564	1264	1179
ASV_0013	434	279	382	548	391	550	2054	1989	1382	617	2115	499	499	679	534	629	807	545	559	547	284	164	197	270	1460	1632	1122
ASV_0014	287	243	127	438	107	286	637	254	346	267	445	244	169	374	40	185	134	56	84	320	132	261	176	5	480	893	295
ASV_0015	1634	563	2189	939	335	507	1450	1115	1599	591	776	217	579	865	558	363	911	303	358	393	192	563	456	582	1136	1362	854
ASV_0016	550	214	1265	525	380	427	611	539	723	349	414	178	303	372	390	265	517	319	376	415	203	425	413	313	962	761	599
ASV_0017	294	223	137	394	108	281	602	252	290	280	465	226	164	374	69	209	178	74	136	336	157	281	209	103	417	838	316
ASV_0018	301	227	378	294	58	100	205	174	190	151	157	30	146	267	197	94	322	102	178	230	91	193	217	221	209	294	130
