species	Size	Trophy	t0-0-a	t0-0-b	t0-0-c	tfin-2-a	tfin-9-a	tfin-9-b	tfin-9-c	tfin-2-b	tfin-2-c	tfin-6-a	tfin-6-b	tfin-6-c
timepoint	timepoint	timepoint	t0	t0	t0	tfin	tfin	tfin	tfin	tfin	tfin	tfin	tfin	tfin
temperature	temperature	temperature	0	0	0	2	9	9	9	2	2	6	6	6
replicate	replicate	replicate	a	b	c	a	a	b	c	b	c	a	b	c
Acanthoecida_XX_sp.	uncategorized	hetero	3	0	2	106	0	5	0	161	117	35	13	10
Attheya_longicornis	nano	photo	18	0	10	2	43	42	55	0	2	22	32	19
Attheya_septentrionalis	nano	photo	28	9	18	3	128	130	150	2	4	44	34	49
Balechina_pachydermata	nano	photo	0	0	0	0	114	0	59	38	0	19	0	0
Biecheleria_sp.	nano	photo	653	528	536	342	539	497	391	534	214	650	614	532
CCW10-lineage_X_sp.	uncategorized	hetero	36	23	61	10	0	0	0	32	52	0	4	0
Chaetoceros_cinctus	nano	photo	124	18	28	6	855	529	595	15	7	129	178	250
Chaetoceros_contortus	nano	photo	0	0	0	0	0	46	4	0	0	0	2	1
Chaetoceros_danicus	nano	photo	0	0	2	0	11	21	0	0	0	0	9	16
Chaetoceros_debilis_1	micro	photo	7	0	3	0	6	74	6	0	0	0	11	14
Chaetoceros_diadema_1	micro	photo	0	0	0	83	74	335	64	114	66	68	88	47
Chaetoceros_gelidus	nano	photo	7097	4006	4842	1379	7331	8814	1925	2163	1311	5191	5362	5692
Chaetoceros_neogracilis	nano	photo	70	30	29	35	98	262	164	36	33	52	126	80
Chaetoceros_peruvianus	micro	photo	0	0	0	28	3	14	0	14	3	0	0	0
Chrysochromulina_sp.	nano	photo	21	10	31	107	1	56	12	116	112	126	118	53
Chrysophyceae_Clade-C_X_sp.	uncategorized	photo	0	0	0	8	0	0	0	16	6	5	13	0
Chrysophyceae_Clade-H_X_sp.	uncategorized	photo	0	0	0	3	771	464	157	1	4	440	600	275
Chrysophyceae_Clade-I_X_sp.	uncategorized	photo	0	0	0	0	0	0	0	0	0	13	24	8
Chrysophyceae_XXX_sp.	uncategorized	photo	0	0	0	8	0	0	0	2	9	186	252	109
Chytriodinium_roseum	nano	parasitic	162	48	106	12	6	9	0	40	37	35	52	35
Cryothecomonas_aestivalis	nano	const_mixo	2492	1792	2311	81	241	480	204	133	146	144	130	125
