sample_ID	timepoint	temperature	uni_ID	replicate	C:N	D2	Chla:POC
t0-0-a	t0	0	t0-0	a	7.754261769	7344	0.00855642484285396
t0-0-b	t0	0	t0-0	b	8.095941083	8035	0.0105888842153228
t0-0-c	t0	0	t0-0	c	7.660850175	7720	0.0101166891902
tfin-2-a	tfin	2	tfin-2	a	4.944806456	8901	0.0254403430036671
tfin-9-a	tfin	9	tfin-9	a	6.494560196	6191	0.135064295501797
tfin-9-b	tfin	9	tfin-9	b	6.531560112	6466	0.0403039934645673
tfin-9-c	tfin	9	tfin-9	c	6.176205458	5444	0.0874189134331504
tfin-2-b	tfin	2	tfin-2	b	5.716089808	8565	0.0202364305223749
tfin-2-c	tfin	2	tfin-2	c	6.371224936	8985	0.031122232548774
tfin-6-a	tfin	6	tfin-6	a	6.19208388	6242	0.0164926146406136
tfin-6-b	tfin	6	tfin-6	b	6.046349573	7580	0.0118908547972704
tfin-6-c	tfin	6	tfin-6	c	5.261350422		0.0223062459916306
