sample_ID	uni_ID	bottle	temperature	replicate
Unpooled1-6-a	Unpooled1-6	Unpooled1	6	a
Unpooled1-6-b	Unpooled1-6	Unpooled1	6	b
Unpooled1-6-c	Unpooled1-6	Unpooled1	6	c
Unpooled2-6-a	Unpooled2-6	Unpooled2	6	a
Unpooled2-6-b	Unpooled2-6	Unpooled2	6	b
Unpooled2-6-c	Unpooled2-6	Unpooled2	6	c
Unpooled1-9-a	Unpooled1-9	Unpooled1	9	a
Unpooled1-9-b	Unpooled1-9	Unpooled1	9	b
Unpooled1-9-c	Unpooled1-9	Unpooled1	9	c
Unpooled2-9-a	Unpooled2-9	Unpooled2	9	a
Unpooled2-9-b	Unpooled2-9	Unpooled2	9	b
Unpooled2-9-c	Unpooled2-9	Unpooled2	9	c
Unpooled1-2-a	Unpooled1-2	Unpooled1	2	a
Unpooled1-2-b	Unpooled1-2	Unpooled1	2	b
Unpooled1-2-c	Unpooled1-2	Unpooled1	2	c
Unpooled2-2-a	Unpooled2-2	Unpooled2	2	a
Unpooled2-2-b	Unpooled2-2	Unpooled2	2	b
Unpooled2-2-c	Unpooled2-2	Unpooled2	2	c
Pooled-2-a	Pooled-2	Pooled	2	a
Pooled-2-b	Pooled-2	Pooled	2	b
Pooled-2-c	Pooled-2	Pooled	2	c
Pooled-6-a	Pooled-6	Pooled	6	a
Pooled-6-b	Pooled-6	Pooled	6	b
Pooled-6-c	Pooled-6	Pooled	6	c
Pooled-9-a	Pooled-9	Pooled	9	a
Pooled-9-b	Pooled-9	Pooled	9	b
Pooled-9-c	Pooled-9	Pooled	9	c
